,index,loss,accuracy,type,epoch
0,0.0,2.2672146030984424,0.1428,train,0
1,1.0,2.258695308769542,0.15065,train,1
2,2.0,2.2382203111556005,0.160975,train,2
3,3.0,2.207009827401686,0.178075,train,3
4,4.0,2.1502471649354096,0.21145,train,4
5,5.0,2.08340546399645,0.242775,train,5
6,6.0,2.02937622954329,0.26195,train,6
7,7.0,1.981172340848637,0.284725,train,7
8,8.0,1.9392691929658177,0.3012,train,8
9,9.0,1.9002506776198116,0.322525,train,9
10,10.0,1.8648132334835406,0.33835,train,10
11,11.0,1.833241409328122,0.350825,train,11
12,12.0,1.8051690779687313,0.3607,train,12
13,13.0,1.780003033621703,0.370375,train,13
14,14.0,1.7576337269459374,0.379575,train,14
15,15.0,1.7371696234885157,0.38865,train,15
16,16.0,1.7188410732773938,0.3967,train,16
17,17.0,1.7024666357884428,0.404225,train,17
18,18.0,1.6876028795268816,0.410475,train,18
19,19.0,1.6740089144156642,0.416275,train,19
20,20.0,1.6613915625109021,0.421875,train,20
21,21.0,1.6494856691391016,0.426375,train,21
22,22.0,1.6382474454174334,0.431125,train,22
23,23.0,1.6277101792886122,0.4353,train,23
24,24.0,1.6178354452799748,0.439225,train,24
25,25.0,1.6085263776034238,0.441475,train,25
26,26.0,1.5996768132447823,0.445525,train,26
27,27.0,1.5912303160496326,0.449475,train,27
28,28.0,1.5831500060914325,0.452375,train,28
29,29.0,1.5753635145509837,0.45565,train,29
30,30.0,1.5678453354363489,0.45935,train,30
31,31.0,1.5605728557332132,0.462675,train,31
32,32.0,1.5535133619302406,0.465025,train,32
33,33.0,1.54668076637555,0.467825,train,33
34,34.0,1.5400890576585577,0.4708,train,34
35,35.0,1.533705253637975,0.47315,train,35
36,36.0,1.527501165104145,0.47515,train,36
37,37.0,1.521456889464157,0.478325,train,37
38,38.0,1.515555513125003,0.47995,train,38
39,39.0,1.509781919829607,0.48235,train,39
40,40.0,1.5041224716441544,0.484125,train,40
41,41.0,1.4985642191819364,0.4862,train,41
42,42.0,1.4930948702931215,0.488525,train,42
43,43.0,1.487703532297583,0.4897,train,43
44,44.0,1.4823813663687448,0.49235,train,44
45,45.0,1.477121490768992,0.493825,train,45
46,46.0,1.4719177707361646,0.495775,train,46
47,47.0,1.466764395492553,0.497375,train,47
48,48.0,1.4616565069260046,0.499625,train,48
49,49.0,1.456589600654458,0.501575,train,49
50,50.0,1.4515592677013125,0.503275,train,50
51,51.0,1.4465619708404187,0.505225,train,51
52,0.0,2.2606160154682677,0.1533,val,0
53,1.0,2.2476373851097624,0.1654,val,1
54,2.0,2.2219236447853183,0.1796,val,2
55,3.0,2.1829322178016604,0.1964,val,3
56,4.0,2.114919667567921,0.2268,val,4
57,5.0,2.0570692663107724,0.2492,val,5
58,6.0,2.007385464403957,0.2626,val,6
59,7.0,1.963119754822982,0.2828,val,7
60,8.0,1.9254893120858163,0.304,val,8
61,9.0,1.8904706208093314,0.3297,val,9
62,10.0,1.8588951878663553,0.3432,val,10
63,11.0,1.8310040056426296,0.3534,val,11
64,12.0,1.8067606142531087,0.3621,val,12
65,13.0,1.7860602462842627,0.3688,val,13
66,14.0,1.76722676702507,0.3773,val,14
67,15.0,1.7503771044740348,0.3827,val,15
68,16.0,1.736170991911037,0.3879,val,16
69,17.0,1.7240142981812712,0.3911,val,17
70,18.0,1.7133237810686697,0.3966,val,18
71,19.0,1.7037106918281046,0.3997,val,19
72,20.0,1.6950649648568732,0.4037,val,20
73,21.0,1.6874317479041747,0.4074,val,21
74,22.0,1.6808563014847506,0.4106,val,22
75,23.0,1.6752936643734024,0.4144,val,23
76,24.0,1.6705787377813976,0.414,val,24
77,25.0,1.6664999811030379,0.4155,val,25
78,26.0,1.6628892171108396,0.4179,val,26
79,27.0,1.6596761739247594,0.4201,val,27
80,28.0,1.6567797264055497,0.4226,val,28
81,29.0,1.6540722796369647,0.4265,val,29
82,30.0,1.6515172859772895,0.4278,val,30
83,31.0,1.6491423193755346,0.4303,val,31
84,32.0,1.6469764293424027,0.4304,val,32
85,33.0,1.6450760371762874,0.4304,val,33
86,34.0,1.6434092828924896,0.4311,val,34
87,35.0,1.6419195766952162,0.4318,val,35
88,36.0,1.6405811045217902,0.432,val,36
89,37.0,1.63938166527989,0.4326,val,37
90,38.0,1.6383129088600428,0.4334,val,38
91,39.0,1.6373687656848694,0.435,val,39
92,40.0,1.6365441679164068,0.4364,val,40
93,41.0,1.6358338495373994,0.4358,val,41
94,42.0,1.635233242606191,0.4366,val,42
95,43.0,1.6347403167755357,0.4367,val,43
96,44.0,1.6343565345878877,0.4365,val,44
97,45.0,1.634086251677547,0.4362,val,45
98,46.0,1.6339298478738349,0.4368,val,46
99,47.0,1.6338765493378253,0.4371,val,47
100,48.0,1.63391098680507,0.4381,val,48
101,49.0,1.634022518081483,0.4382,val,49
102,50.0,1.634205794426333,0.4376,val,50
103,51.0,1.6344572655898524,0.4365,val,51
0,,1.6467548274588382,0.4348,test,-1
