,index,loss,accuracy,type,epoch
0,0.0,2.147005269851945,0.201775,train,0
1,1.0,1.8233440161902883,0.354525,train,1
2,2.0,1.71429576062048,0.401875,train,2
3,3.0,1.6611817584192825,0.426125,train,3
4,4.0,1.6258852818174023,0.43855,train,4
5,5.0,1.59835811060543,0.446925,train,5
6,6.0,1.576070128783366,0.455175,train,6
7,7.0,1.557123095074785,0.462275,train,7
8,8.0,1.5408891185224358,0.4686,train,8
9,9.0,1.5269281003373552,0.476125,train,9
10,10.0,1.5145094636783245,0.48065,train,10
11,11.0,1.5030459369185534,0.485025,train,11
12,12.0,1.4934956626598854,0.4902,train,12
13,13.0,1.4849217526485636,0.493075,train,13
14,14.0,1.476375506764409,0.496875,train,14
15,15.0,1.4691761975984834,0.5002,train,15
16,16.0,1.4629573870368902,0.5035,train,16
17,17.0,1.4575720662820661,0.50365,train,17
18,18.0,1.4536158119989595,0.50515,train,18
19,19.0,1.4493254258993398,0.5056,train,19
20,20.0,1.4447065323558965,0.50675,train,20
21,21.0,1.4409085944239082,0.5095,train,21
22,22.0,1.4369734775219263,0.510575,train,22
23,23.0,1.4335496481594288,0.512875,train,23
24,24.0,1.430197081271615,0.5139,train,24
25,25.0,1.4280339529335029,0.5147,train,25
26,26.0,1.4252800648756783,0.51565,train,26
27,27.0,1.4234775808842652,0.516225,train,27
28,28.0,1.4222458907557793,0.516225,train,28
29,29.0,1.4195957577488432,0.516325,train,29
30,30.0,1.418122628317421,0.5167,train,30
31,31.0,1.417891124773501,0.516575,train,31
32,32.0,1.416956675577765,0.516875,train,32
33,0.0,1.9258223626807485,0.3186,val,0
34,1.0,1.748453244079468,0.3879,val,1
35,2.0,1.6928138544469509,0.4127,val,2
36,3.0,1.6679108534136449,0.4256,val,3
37,4.0,1.645948991854287,0.4335,val,4
38,5.0,1.6359775229368962,0.4381,val,5
39,6.0,1.6277281755397217,0.4403,val,6
40,7.0,1.6208618058073803,0.4409,val,7
41,8.0,1.6157530231598751,0.4461,val,8
42,9.0,1.6113755286599867,0.449,val,9
43,10.0,1.608021287324332,0.4511,val,10
44,11.0,1.6052489151676306,0.4538,val,11
45,12.0,1.603324553377452,0.4539,val,12
46,13.0,1.6014719850500636,0.4523,val,13
47,14.0,1.6005965355625937,0.4532,val,14
48,15.0,1.600201426759221,0.4523,val,15
49,16.0,1.5987467097826014,0.4518,val,16
50,17.0,1.596632586363151,0.4521,val,17
51,18.0,1.5955205300530786,0.4546,val,18
52,19.0,1.5925543888285665,0.4538,val,19
53,20.0,1.5915312633462475,0.4536,val,20
54,21.0,1.591770736726804,0.4532,val,21
55,22.0,1.5907791721213311,0.4532,val,22
56,23.0,1.591539087963559,0.4532,val,23
57,24.0,1.5911236618452214,0.4516,val,24
58,25.0,1.5902619520562409,0.4515,val,25
59,26.0,1.5878129547449478,0.4528,val,26
60,27.0,1.5867757621203211,0.4519,val,27
61,28.0,1.5850221754963787,0.453,val,28
62,29.0,1.5871560718719397,0.4527,val,29
63,30.0,1.5880644549719924,0.4515,val,30
64,31.0,1.5886089104707006,0.451,val,31
65,32.0,1.5872603800562395,0.4512,val,32
0,,1.5777390398251265,0.4543,test,-1
