,index,loss,accuracy,type,epoch
0,0.0,2.268157138499655,0.1427,train,0
1,1.0,2.2594976069344344,0.149725,train,1
2,2.0,2.238847872211648,0.160725,train,2
3,3.0,2.207439250764995,0.178275,train,3
4,4.0,2.1515361898932968,0.2076,train,4
5,5.0,2.085742537428778,0.24065,train,5
6,6.0,2.032279371832349,0.26135,train,6
7,7.0,1.9846074723884373,0.28025,train,7
8,8.0,1.9403114247085078,0.30275,train,8
9,9.0,1.8989729306390655,0.322975,train,9
10,10.0,1.8610676991660087,0.339675,train,10
11,11.0,1.827600788788101,0.351975,train,11
12,12.0,1.7991583715824262,0.362725,train,12
13,13.0,1.7745381185235831,0.3721,train,13
14,14.0,1.7524686953830528,0.38225,train,14
15,15.0,1.7328565743422812,0.3892,train,15
16,16.0,1.7153319249842196,0.396175,train,16
17,17.0,1.6993460817195325,0.40175,train,17
18,18.0,1.6846205533157503,0.4076,train,18
19,19.0,1.6709457864144435,0.41405,train,19
20,20.0,1.658281744698836,0.42055,train,20
21,21.0,1.646733434459149,0.4249,train,21
22,22.0,1.6361447450084499,0.429,train,22
23,23.0,1.626232543053292,0.4326,train,23
24,24.0,1.6168769053742966,0.43725,train,24
25,25.0,1.6079899063292218,0.441,train,25
26,26.0,1.5994708531366302,0.44335,train,26
27,27.0,1.5912274761713652,0.446425,train,27
28,28.0,1.5831887866099528,0.450625,train,28
29,29.0,1.575298116165809,0.453575,train,29
30,30.0,1.5674714157649616,0.457225,train,30
31,31.0,1.5596701047950514,0.4604,train,31
32,32.0,1.5520706099854924,0.463575,train,32
33,33.0,1.544664207328936,0.467075,train,33
34,34.0,1.5374353172338349,0.46985,train,34
35,35.0,1.5304257935005081,0.4727,train,35
36,36.0,1.5235875532494854,0.476025,train,36
37,37.0,1.5169152272406599,0.478725,train,37
38,38.0,1.5104013812391308,0.4805,train,38
39,39.0,1.5040387366521495,0.4834,train,39
40,40.0,1.4978288643965887,0.48595,train,40
41,41.0,1.491771861006268,0.488075,train,41
42,42.0,1.485852574667351,0.49025,train,42
43,43.0,1.4800511072182072,0.492775,train,43
44,44.0,1.4743518604013028,0.495375,train,44
45,45.0,1.46874342390719,0.497675,train,45
46,46.0,1.4632165125876695,0.499425,train,46
47,47.0,1.4577623220716034,0.501075,train,47
48,48.0,1.4523719670198774,0.503225,train,48
49,49.0,1.4470369705638761,0.505275,train,49
50,50.0,1.4417494734345058,0.507775,train,50
51,51.0,1.4365022796564664,0.51035,train,51
52,52.0,1.431289371235972,0.512475,train,52
53,53.0,1.4261063047515838,0.5142,train,53
54,0.0,2.258971641360904,0.1525,val,0
55,1.0,2.2460291448896395,0.163,val,1
56,2.0,2.220700109522279,0.1783,val,2
57,3.0,2.182646732245885,0.1974,val,3
58,4.0,2.1136638185935555,0.2319,val,4
59,5.0,2.05339702820766,0.2605,val,5
60,6.0,2.0071745315214096,0.2739,val,6
61,7.0,1.9651280652960594,0.294,val,7
62,8.0,1.9245912550254187,0.3159,val,8
63,9.0,1.8866877426014954,0.3345,val,9
64,10.0,1.8519064310266458,0.3465,val,10
65,11.0,1.8239961063351087,0.3576,val,11
66,12.0,1.801375543526419,0.3669,val,12
67,13.0,1.7819751355784295,0.3737,val,13
68,14.0,1.7652601868116642,0.3819,val,14
69,15.0,1.7512759682945016,0.3865,val,15
70,16.0,1.7394611114685643,0.3898,val,16
71,17.0,1.7295871381127803,0.3913,val,17
72,18.0,1.7210997261682992,0.3976,val,18
73,19.0,1.7134112780360145,0.4013,val,19
74,20.0,1.706412444841084,0.4027,val,20
75,21.0,1.7003859452529229,0.4091,val,21
76,22.0,1.69504746564102,0.4104,val,22
77,23.0,1.6902813539445982,0.4141,val,23
78,24.0,1.6860946206099845,0.4184,val,24
79,25.0,1.68243786064493,0.4209,val,25
80,26.0,1.679186271980729,0.4216,val,26
81,27.0,1.6762220980135323,0.4237,val,27
82,28.0,1.6734463473076477,0.4248,val,28
83,29.0,1.6707931219351078,0.4244,val,29
84,30.0,1.668238301023038,0.4267,val,30
85,31.0,1.6657369523983663,0.4288,val,31
86,32.0,1.663463456093923,0.43,val,32
87,33.0,1.6613597280990493,0.4321,val,33
88,34.0,1.659504082934664,0.434,val,34
89,35.0,1.6578149934463362,0.4351,val,35
90,36.0,1.6562672375171714,0.436,val,36
91,37.0,1.6548383566147922,0.4354,val,37
92,38.0,1.6535182539908302,0.4348,val,38
93,39.0,1.6523133443886338,0.4351,val,39
94,40.0,1.6512342010744412,0.4356,val,40
95,41.0,1.650284415490508,0.4348,val,41
96,42.0,1.649458458188243,0.4348,val,42
97,43.0,1.648747919703282,0.4348,val,43
98,44.0,1.6481475454435683,0.4354,val,44
99,45.0,1.6476572504322848,0.4369,val,45
100,46.0,1.6472812970129216,0.4375,val,46
101,47.0,1.6470234843560003,0.4391,val,47
102,48.0,1.646882450233688,0.4371,val,48
103,49.0,1.6468509560795053,0.4372,val,49
104,50.0,1.64691806329975,0.4368,val,50
105,51.0,1.6470727177120164,0.4367,val,51
106,52.0,1.6473063354854318,0.4375,val,52
107,53.0,1.647612565826696,0.4367,val,53
0,,1.6506892289892268,0.4261,test,-1
