,index,loss,accuracy,type,epoch
0,0.0,2.3141010349157654,0.160075,train,0
1,1.0,2.1676308602609162,0.219975,train,1
2,2.0,2.0759142166801694,0.2588,train,2
3,3.0,1.9956220436617358,0.29035,train,3
4,4.0,1.8962656343991904,0.314925,train,4
5,5.0,1.8316474269604475,0.3384,train,5
6,6.0,1.7889061969491107,0.3547,train,6
7,7.0,1.7511580688160269,0.373475,train,7
8,8.0,1.714787010813275,0.389875,train,8
9,9.0,1.6880141787332485,0.40075,train,9
10,10.0,1.6652364055071147,0.40915,train,10
11,11.0,1.6440929873175152,0.4194,train,11
12,12.0,1.6234737838009112,0.4283,train,12
13,13.0,1.6031886105670774,0.4369,train,13
14,14.0,1.5827472725633571,0.4458,train,14
15,15.0,1.5621134462699824,0.453525,train,15
16,16.0,1.5424166558743395,0.4616,train,16
17,17.0,1.5243487468248407,0.469425,train,17
18,18.0,1.5079855103872202,0.4747,train,18
19,19.0,1.492792888735683,0.481125,train,19
20,20.0,1.4782240910252766,0.4852,train,20
21,21.0,1.464263062569066,0.489025,train,21
22,22.0,1.4505815183957065,0.493775,train,22
23,23.0,1.4370521310715016,0.49805,train,23
24,24.0,1.4237445858773363,0.50385,train,24
25,25.0,1.4102433843751547,0.5104,train,25
26,26.0,1.3966929638911671,0.5157,train,26
27,27.0,1.3837237440979735,0.52,train,27
28,28.0,1.3708582640184643,0.523875,train,28
29,29.0,1.3584289440577184,0.529125,train,29
30,30.0,1.3462834835466448,0.534625,train,30
31,31.0,1.3340046222170552,0.5393,train,31
32,32.0,1.3218075047882902,0.545025,train,32
33,33.0,1.3099394770727502,0.54935,train,33
34,34.0,1.298212695868032,0.5531,train,34
35,35.0,1.2867467356446602,0.5573,train,35
36,36.0,1.2753321242243436,0.56115,train,36
37,37.0,1.26405385662599,0.56505,train,37
38,38.0,1.2529867795580443,0.5697,train,38
39,39.0,1.2419731131755254,0.574525,train,39
40,40.0,1.230950256290672,0.578,train,40
41,41.0,1.219900468421352,0.5825,train,41
42,42.0,1.2089893789262975,0.585875,train,42
43,43.0,1.1982980846491909,0.590375,train,43
44,44.0,1.1877712109844094,0.593825,train,44
45,45.0,1.1773103866160195,0.597775,train,45
46,46.0,1.167064039017922,0.601575,train,46
47,47.0,1.1568164438984394,0.60535,train,47
48,48.0,1.14668762477468,0.6085,train,48
49,0.0,2.198658810834274,0.195,val,0
50,1.0,2.0731687140885593,0.2456,val,1
51,2.0,2.003918095201457,0.2778,val,2
52,3.0,1.9398515923803221,0.3087,val,3
53,4.0,1.8531489134547638,0.3234,val,4
54,5.0,1.7976693148627305,0.3468,val,5
55,6.0,1.759189746913872,0.3624,val,6
56,7.0,1.7274825143712667,0.377,val,7
57,8.0,1.7031881925397818,0.3867,val,8
58,9.0,1.6864778814997594,0.3959,val,9
59,10.0,1.6630772228407098,0.4064,val,10
60,11.0,1.6413552562981972,0.414,val,11
61,12.0,1.6254990505484992,0.42,val,12
62,13.0,1.6128538732378368,0.4278,val,13
63,14.0,1.6009424382457222,0.4335,val,14
64,15.0,1.5890743859516996,0.4389,val,15
65,16.0,1.5781778169228882,0.4409,val,16
66,17.0,1.568388380690162,0.4448,val,17
67,18.0,1.5600572947437688,0.4462,val,18
68,19.0,1.5523490836040752,0.4502,val,19
69,20.0,1.544693021825572,0.4535,val,20
70,21.0,1.53734601552718,0.4566,val,21
71,22.0,1.5294417802395244,0.4588,val,22
72,23.0,1.5217261143432794,0.4636,val,23
73,24.0,1.514179478651867,0.4656,val,24
74,25.0,1.5074834361883525,0.4692,val,25
75,26.0,1.5013450017120258,0.4718,val,26
76,27.0,1.496005262216568,0.4726,val,27
77,28.0,1.4909669135346133,0.4756,val,28
78,29.0,1.486073235816155,0.4776,val,29
79,30.0,1.4817994485052906,0.4794,val,30
80,31.0,1.4769967800571133,0.4798,val,31
81,32.0,1.4733639056078827,0.4838,val,32
82,33.0,1.4695971057118178,0.4866,val,33
83,34.0,1.4672594206498877,0.486,val,34
84,35.0,1.4648437821068567,0.4871,val,35
85,36.0,1.4625330483338583,0.4878,val,36
86,37.0,1.4605657788228505,0.4874,val,37
87,38.0,1.4594488877377256,0.4881,val,38
88,39.0,1.4574280154508654,0.488,val,39
89,40.0,1.455558659975689,0.491,val,40
90,41.0,1.454013127848642,0.4938,val,41
91,42.0,1.4529278607800677,0.4945,val,42
92,43.0,1.4522970488664324,0.4949,val,43
93,44.0,1.4518968947774231,0.4962,val,44
94,45.0,1.4521094785521103,0.4944,val,45
95,46.0,1.452206055903917,0.4961,val,46
96,47.0,1.4523034191354425,0.4964,val,47
97,48.0,1.4531629710617289,0.4955,val,48
0,,1.468124218740132,0.4909,test,-1
