,index,loss,accuracy,type,epoch
0,0.0,2.28343005218474,0.1356,train,0
1,1.0,2.276999555676136,0.147175,train,1
2,2.0,2.2716568720311954,0.150425,train,2
3,3.0,2.265481717825841,0.1551,train,3
4,4.0,2.2563613008970784,0.16175,train,4
5,5.0,2.2420927987952557,0.1714,train,5
6,6.0,2.223030033257884,0.18055,train,6
7,7.0,2.201633263451207,0.189375,train,7
8,8.0,2.177231870638809,0.20015,train,8
9,9.0,2.145675029182384,0.214325,train,9
10,10.0,2.1104681060405808,0.2311,train,10
11,11.0,2.076355311239026,0.2425,train,11
12,12.0,2.046268122093255,0.252825,train,12
13,13.0,2.020570887805031,0.2621,train,13
14,14.0,1.9992862230972805,0.2708,train,14
15,15.0,1.980492196465065,0.2779,train,15
16,16.0,1.962792259028193,0.285625,train,16
17,17.0,1.9456754573074864,0.29345,train,17
18,18.0,1.9290286858787724,0.301975,train,18
19,19.0,1.9127674958973384,0.31115,train,19
20,20.0,1.8968371047917083,0.319475,train,20
21,21.0,1.881275817383425,0.328425,train,21
22,22.0,1.8662136810483212,0.336475,train,22
23,23.0,1.8517669858523598,0.34245,train,23
24,24.0,1.8379676060010628,0.34865,train,24
25,25.0,1.8247956108017198,0.353825,train,25
26,26.0,1.8122139022409782,0.358925,train,26
27,27.0,1.8002038974556045,0.363325,train,27
28,28.0,1.788779693095789,0.36865,train,28
29,29.0,1.7779601937822125,0.37275,train,29
30,30.0,1.767743125140442,0.376,train,30
31,31.0,1.758102604192291,0.3798,train,31
32,32.0,1.7489963185875226,0.38365,train,32
33,33.0,1.7403707230576233,0.3875,train,33
34,34.0,1.7321663378129488,0.390975,train,34
35,35.0,1.7243253031479988,0.3939,train,35
36,36.0,1.7167978397890096,0.396475,train,36
37,37.0,1.7095459605627668,0.399825,train,37
38,38.0,1.7025451069213207,0.403475,train,38
39,39.0,1.695783823865645,0.406225,train,39
40,40.0,1.6892591555104157,0.409425,train,40
41,41.0,1.6829657431620264,0.41225,train,41
42,42.0,1.6768914434442834,0.415075,train,42
43,43.0,1.6710226288676906,0.4171,train,43
44,44.0,1.6653473221211843,0.41935,train,44
45,45.0,1.6598549956425719,0.42165,train,45
46,46.0,1.654535644843508,0.424,train,46
47,47.0,1.6493791400864768,0.4261,train,47
48,48.0,1.6443750504111834,0.4279,train,48
49,49.0,1.6395128390811824,0.429875,train,49
50,50.0,1.6347822030360306,0.431625,train,50
51,51.0,1.6301733566169074,0.43435,train,51
52,52.0,1.6256771674606232,0.43625,train,52
53,53.0,1.621285167515412,0.438175,train,53
54,54.0,1.6169895194933717,0.439575,train,54
55,55.0,1.6127830063816926,0.441125,train,55
56,56.0,1.6086590553237412,0.44225,train,56
57,57.0,1.6046117638030326,0.44395,train,57
58,58.0,1.6006358965715826,0.44515,train,58
59,59.0,1.5967268468535154,0.447275,train,59
60,60.0,1.5928805718323262,0.44885,train,60
61,61.0,1.5890935132279198,0.450475,train,61
62,62.0,1.5853625105449243,0.4518,train,62
63,63.0,1.581684712402446,0.4532,train,63
64,64.0,1.5780574911429597,0.454025,train,64
65,65.0,1.574478369212069,0.455275,train,65
66,66.0,1.5709449677418914,0.456325,train,66
67,67.0,1.5674549829226383,0.4572,train,67
68,68.0,1.5640061871642785,0.458625,train,68
69,69.0,1.5605964460429702,0.45985,train,69
70,70.0,1.5572237406229292,0.461175,train,70
71,71.0,1.55388618647794,0.46225,train,71
72,72.0,1.5505820439308637,0.463475,train,72
73,73.0,1.54730971759648,0.464325,train,73
74,74.0,1.5440677465260966,0.46535,train,74
75,75.0,1.540854788654796,0.466775,train,75
76,76.0,1.5376696043759321,0.467975,train,76
77,77.0,1.5345110433764457,0.469125,train,77
78,78.0,1.5313780364820684,0.470575,train,78
79,79.0,1.5282695915137694,0.472,train,79
80,80.0,1.5251847907283604,0.47315,train,80
81,81.0,1.5221227878268524,0.47415,train,81
82,82.0,1.5190828038012343,0.475325,train,82
83,83.0,1.5160641217606656,0.4762,train,83
84,84.0,1.5130660808902547,0.4774,train,84
85,85.0,1.5100880693324663,0.477875,train,85
86,86.0,1.5071295157013709,0.478875,train,86
87,87.0,1.5041898793691324,0.479775,train,87
88,88.0,1.50126864037053,0.480675,train,88
89,89.0,1.4983652903381712,0.481825,train,89
90,90.0,1.4954793259431816,0.483275,train,90
91,91.0,1.4926102457443458,0.4843,train,91
92,92.0,1.489757550380172,0.48555,train,92
93,93.0,1.486920745172018,0.4868,train,93
94,94.0,1.4840993438535375,0.48815,train,94
95,95.0,1.481292872345178,0.489675,train,95
96,96.0,1.4785008719791957,0.49095,train,96
97,97.0,1.475722902022211,0.492,train,97
98,98.0,1.4729585415613555,0.493175,train,98
99,99.0,1.4702073908247235,0.49445,train,99
100,0.0,2.281241423911934,0.1414,val,0
101,1.0,2.2761673054108584,0.1411,val,1
102,2.0,2.2710401856151408,0.1449,val,2
103,3.0,2.2642898292362066,0.1519,val,3
104,4.0,2.2535993096712295,0.1592,val,4
105,5.0,2.2376238154604624,0.1676,val,5
106,6.0,2.218075091462457,0.177,val,6
107,7.0,2.1962065091338823,0.1876,val,7
108,8.0,2.1687805918883414,0.2026,val,8
109,9.0,2.1340255646783737,0.2157,val,9
110,10.0,2.098018523045542,0.2266,val,10
111,11.0,2.0646369861368408,0.2393,val,11
112,12.0,2.0360888008595115,0.2551,val,12
113,13.0,2.0126729575804676,0.2649,val,13
114,14.0,1.993308831002299,0.2702,val,14
115,15.0,1.9758774121563503,0.2808,val,15
116,16.0,1.959379172321056,0.2883,val,16
117,17.0,1.9435750044286109,0.2955,val,17
118,18.0,1.9283613101375634,0.3013,val,18
119,19.0,1.9135273725114081,0.3102,val,19
120,20.0,1.8989381783635673,0.3168,val,20
121,21.0,1.88464311898519,0.3268,val,21
122,22.0,1.8708245081425001,0.3337,val,22
123,23.0,1.8576266448854348,0.3382,val,23
124,24.0,1.8450966230626946,0.3451,val,24
125,25.0,1.8332138326752738,0.3502,val,25
126,26.0,1.821936040011968,0.3555,val,26
127,27.0,1.8112488846293127,0.3588,val,27
128,28.0,1.8011659579342676,0.3637,val,28
