,index,loss,accuracy,type,epoch
0,0.0,2.26710028334994,0.144625,train,0
1,1.0,2.257270411819589,0.152875,train,1
2,2.0,2.237203695027172,0.1626,train,2
3,3.0,2.2087379877384765,0.178,train,3
4,4.0,2.1558708717924318,0.205375,train,4
5,5.0,2.0847005695189282,0.23535,train,5
6,6.0,2.031326533365217,0.257525,train,6
7,7.0,1.9878320353620897,0.2777,train,7
8,8.0,1.947686157939905,0.2965,train,8
9,9.0,1.912038765811456,0.313875,train,9
10,10.0,1.8797332996923488,0.3278,train,10
11,11.0,1.847716619938793,0.3424,train,11
12,12.0,1.8171808263147378,0.356125,train,12
13,13.0,1.7903994998335304,0.3692,train,13
14,14.0,1.767347602172777,0.378275,train,14
15,15.0,1.7465923712444007,0.388,train,15
16,16.0,1.7279577395391204,0.39405,train,16
17,17.0,1.7110490621122423,0.399875,train,17
18,18.0,1.695612934542833,0.404825,train,18
19,19.0,1.6817901419914012,0.4097,train,19
20,20.0,1.669137051513101,0.414975,train,20
21,21.0,1.6573919364746852,0.419625,train,21
22,22.0,1.6463700668464578,0.423075,train,22
23,23.0,1.6360146146165846,0.427375,train,23
24,24.0,1.6261907040515973,0.43055,train,24
25,25.0,1.6167836877467137,0.433975,train,25
26,26.0,1.6077608267277623,0.4378,train,26
27,27.0,1.5991694524473037,0.44245,train,27
28,28.0,1.5909601516503646,0.4463,train,28
29,29.0,1.5830464429376128,0.44935,train,29
30,30.0,1.575389036388695,0.452575,train,30
31,31.0,1.5679796583702963,0.4556,train,31
32,32.0,1.560800400497844,0.458325,train,32
33,33.0,1.5538167769916187,0.4615,train,33
34,34.0,1.5469925911598443,0.464625,train,34
35,35.0,1.5403205242900568,0.46715,train,35
36,36.0,1.5337913314508662,0.46965,train,36
37,37.0,1.5273897687032683,0.472025,train,37
38,38.0,1.5211064402701073,0.474325,train,38
39,39.0,1.514932772024113,0.476,train,39
40,40.0,1.508858030383277,0.478675,train,40
41,41.0,1.5028726294586636,0.48135,train,41
42,42.0,1.4969675340095006,0.483575,train,42
43,43.0,1.4911333101677726,0.486475,train,43
44,44.0,1.4853614343677282,0.488675,train,44
45,45.0,1.4796455402719333,0.491275,train,45
46,46.0,1.4739810753964122,0.49415,train,46
47,47.0,1.4683634023443226,0.495725,train,47
48,48.0,1.462788241558621,0.497675,train,48
49,49.0,1.4572552606145734,0.4994,train,49
50,50.0,1.4517675513987225,0.501125,train,50
51,51.0,1.4463257855001823,0.50345,train,51
52,52.0,1.4409264554219752,0.505475,train,52
53,53.0,1.4355643804650011,0.508025,train,53
54,54.0,1.4302353627423638,0.51015,train,54
55,55.0,1.4249377140581907,0.512075,train,55
56,56.0,1.4196720824889852,0.514125,train,56
57,0.0,2.2650081346751723,0.15,val,0
58,1.0,2.248432995425975,0.1593,val,1
59,2.0,2.223650758272403,0.17,val,2
60,3.0,2.18938060738672,0.1872,val,3
61,4.0,2.1220251450203165,0.2244,val,4
62,5.0,2.061130559991247,0.2539,val,5
63,6.0,2.0162446988169087,0.2715,val,6
64,7.0,1.9779950707903764,0.2836,val,7
65,8.0,1.9410141038629958,0.3045,val,8
66,9.0,1.9112558406247533,0.3165,val,9
67,10.0,1.8813042663644912,0.3353,val,10
68,11.0,1.851172198118088,0.3489,val,11
69,12.0,1.8244116865427298,0.3597,val,12
70,13.0,1.8025885799741066,0.3714,val,13
71,14.0,1.783864370170251,0.3767,val,14
72,15.0,1.7679699115553031,0.3813,val,15
73,16.0,1.754493684545103,0.3852,val,16
74,17.0,1.7428934597547006,0.3893,val,17
75,18.0,1.732935283213085,0.393,val,18
76,19.0,1.724384495624193,0.395,val,19
77,20.0,1.716727672363683,0.3986,val,20
78,21.0,1.7099044598871433,0.3995,val,21
79,22.0,1.7037617433277348,0.4031,val,22
80,23.0,1.6981842118808763,0.4071,val,23
81,24.0,1.6929790586261935,0.4099,val,24
82,25.0,1.688057892314369,0.4112,val,25
83,26.0,1.6835788204066975,0.4113,val,26
84,27.0,1.6796573422664325,0.4131,val,27
85,28.0,1.676221035695012,0.4144,val,28
86,29.0,1.6731762579434417,0.4162,val,29
87,30.0,1.6704705448273234,0.4173,val,30
88,31.0,1.6680565169065478,0.4185,val,31
89,32.0,1.665877858676736,0.42,val,32
90,33.0,1.6638774164799213,0.4213,val,33
91,34.0,1.662007846209793,0.422,val,34
92,35.0,1.660255871046707,0.4248,val,35
93,36.0,1.6586301464267355,0.4258,val,36
94,37.0,1.6571379005520597,0.4276,val,37
95,38.0,1.6557824183975587,0.4297,val,38
96,39.0,1.6545627185210061,0.4314,val,39
97,40.0,1.6534710567593516,0.4321,val,40
98,41.0,1.6524975612377122,0.4328,val,41
99,42.0,1.6516306193344499,0.4332,val,42
100,43.0,1.6508584679411769,0.4334,val,43
101,44.0,1.6501725695813894,0.4339,val,44
102,45.0,1.6495666883028055,0.4348,val,45
103,46.0,1.6490353357108667,0.435,val,46
104,47.0,1.6485774769314532,0.4348,val,47
105,48.0,1.648197405344709,0.4363,val,48
106,49.0,1.6478990911038665,0.4369,val,49
107,50.0,1.6476840173183311,0.4368,val,50
108,51.0,1.6475585734646014,0.4363,val,51
109,52.0,1.647529281855781,0.4358,val,52
110,53.0,1.647597334079546,0.4352,val,53
111,54.0,1.6477608352274637,0.4353,val,54
112,55.0,1.6480170088462065,0.4351,val,55
113,56.0,1.648363035694666,0.4343,val,56
0,,1.648207744319313,0.4288,test,-1
