,index,loss,accuracy,type,epoch
0,0.0,2.2746407489174434,0.1426,train,0
1,1.0,2.2623131325844725,0.14535,train,1
2,2.0,2.2594918723386592,0.146475,train,2
3,3.0,2.2565333999207344,0.14755,train,3
4,4.0,2.2533914276185487,0.148575,train,4
5,5.0,2.250085922109551,0.150275,train,5
6,6.0,2.2465892796026625,0.151025,train,6
7,7.0,2.242760135097208,0.1526,train,7
8,8.0,2.238402795454908,0.153,train,8
9,9.0,2.23322720575686,0.153625,train,9
10,10.0,2.2264600275136774,0.15445,train,10
11,11.0,2.215897629885447,0.15805,train,11
12,12.0,2.1935299890899453,0.1628,train,12
13,13.0,2.151134796911957,0.17015,train,13
14,14.0,2.1042471369218636,0.184425,train,14
15,15.0,2.0749625653510098,0.198275,train,15
16,16.0,2.0519004063105672,0.21005,train,16
17,17.0,2.032481117533504,0.2161,train,17
18,18.0,2.017408602483529,0.221,train,18
19,19.0,2.0052696370799024,0.22455,train,19
20,20.0,1.9950459888134122,0.228825,train,20
21,21.0,1.9850794593860657,0.2333,train,21
22,22.0,1.973984160873052,0.238625,train,22
23,23.0,1.9599443167750437,0.24645,train,23
24,24.0,1.9404385316077255,0.264125,train,24
25,25.0,1.9154621953989408,0.28825,train,25
26,26.0,1.8901172020837984,0.307875,train,26
27,27.0,1.8681816417934012,0.32045,train,27
28,28.0,1.8498038873771483,0.3293,train,28
29,29.0,1.8338606686938892,0.33685,train,29
30,30.0,1.8190203050557252,0.34185,train,30
31,31.0,1.804875768258996,0.34825,train,31
32,32.0,1.7913410583140474,0.353575,train,32
33,33.0,1.7785196258313827,0.358625,train,33
34,34.0,1.7667268937561504,0.3617,train,34
35,35.0,1.7560627026648723,0.364575,train,35
36,36.0,1.7463736325573875,0.3684,train,36
37,37.0,1.7374642052228992,0.37245,train,37
38,38.0,1.7291432757710736,0.375125,train,38
39,39.0,1.721192138158122,0.37765,train,39
40,40.0,1.7134643563858225,0.381275,train,40
41,41.0,1.7058579114386052,0.3841,train,41
42,42.0,1.6982537057879261,0.386775,train,42
43,43.0,1.690527387045596,0.38985,train,43
44,44.0,1.6825725794847324,0.393175,train,44
45,45.0,1.67432037677531,0.39585,train,45
46,46.0,1.6657490122571394,0.401125,train,46
47,47.0,1.6568903584924384,0.404425,train,47
48,48.0,1.647810877494673,0.408275,train,48
49,49.0,1.6385346856092593,0.41085,train,49
50,50.0,1.6291875460118719,0.41385,train,50
51,51.0,1.6199993899508074,0.416825,train,51
52,52.0,1.6109799804754492,0.41975,train,52
53,53.0,1.6021251468078166,0.423925,train,53
54,54.0,1.5934280885483194,0.427675,train,54
55,55.0,1.5848870755305855,0.4311,train,55
56,56.0,1.576509950621818,0.435425,train,56
57,57.0,1.568306875082616,0.438775,train,57
58,58.0,1.5602880251826234,0.441025,train,58
59,59.0,1.5524682346162169,0.443275,train,59
60,60.0,1.544860997537775,0.44635,train,60
61,61.0,1.5374749489522204,0.448875,train,61
62,62.0,1.5303052251030782,0.45145,train,62
63,63.0,1.5233365812928499,0.454275,train,63
64,64.0,1.5165565192358583,0.4562,train,64
65,65.0,1.5099652544357827,0.4596,train,65
66,66.0,1.5035578911546523,0.461975,train,66
67,67.0,1.4973075392210655,0.46385,train,67
68,68.0,1.491183940176569,0.4653,train,68
69,69.0,1.485165213419188,0.467575,train,69
70,70.0,1.4792354692755212,0.468675,train,70
71,71.0,1.4733821339383173,0.46985,train,71
72,72.0,1.4675955099320244,0.47205,train,72
